type;subtype;description;level;tooltip
Programming Language;;Java;9.2;Proficient User (7+ years everyday working experience)
Programming Language;;Python;9;Proficient User (7+ years experience on structured projects)
Programming Language;;JavaScript;4;Basic User (hands-on experience on work and personal projects)
IDE;;IntelliJ;9;Proficient User (7+ years everyday working experience)
IDE;;Jupyter/PyCharm;9;Independent User (7+ years experience on structured projects)
Big Data;IDE;Hue;7;Independent User (3 years everyday working experience)
Application Server;;Tomcat;8;Proficient User (4 years everyday working experience)
Application Server;;Jetty;6;Independent User (2 year everyday working experience)
Cloud Computing;;Amazon AWS;8;Independent User (3+ years everyday working experience, Certified Solution Architech)
Cloud Computing;;Google GCP;4;Basic User (6 months experience on personal projects)
WordPress;;WordPress;6;Basic User (2 years experience on personal projects)
Big Data;Software;Zookeeper / HDFS;8;Proficient User (4+ years everyday working experience)
Big Data;Software;HBase / Solr / Hive / Impala;8;Proficient User (4 years everyday working experience)
Big Data;Software;Sqoop;6;Independent User (1 year everyday working experience)
Big Data;Software;Ambari;6;Independent User (1 year everyday working experience)
Big Data;Software;Nifi;4;Basic User (1 year everyday working experience)
Big Data;Cloud;EMR;7;Independent User (1+ year everyday working experience)
Big Data;BDA;BDA;7;Independent User (3+ year everyday working experience)
Java;;Design Patterns;8;Proficient User (5+ years everyday working experience)
Java;Framework;Spring;7;Independent User(1+ year everyday working experience)
Java;Framework;JMS;6;Independent User (4 years everyday working experience)
Java;Framework;ActiveMQ;6;Independent User (4 years everyday working experience)
Java;Framework;Hibernate;4;Basic User (1 year experience on personal projects)
Java;Unit Testing;Junit 4/5;8;Proficient User (4+ years everyday working experience)
Java;Unit Testing;Mockito;7;Independent User (2+ years everyday working experience)
DevOps;VCS;Git / SVN;8;Proficient User (5+ years everyday working experience)
DevOps;Agile;Kanban / SCRUM;8;Proficient User (4+ years everyday working experience)
DevOps;Pipelines;CI/CD;7;Independent User (3+ years everyday working experience)
DevOps;Pipelines;SonarQube;7;Independent User (3+ years everyday working experience)
DevOps;Pipelines;Veracode;6;Independent User (1 year everyday working experience)
Containers;Container;Docker;6;Independent User (1+ year everyday working experience)
Containers;Orchestrator;OpenShift;6;Independent User (1+ year everyday working experience)
Containers;Orchestrator;Kubernetes;7;Independent User (1+ year everyday working experience)
Containers;Observability;Prometeus;6;Independent User (6+ months everyday working experience)
Containers;Observability;Grafana;6;Independent User (6+ months everyday working experience)
Containers;DevOps;Helm;4;Basic User (6+ months everyday working experience)
Containers;DevOps;Harbor;4;Basic User (6+ months everyday working experience)
